"No.","Time","Source","Destination","Protocol","Length","Info"
"1550","47.990784000","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1551","47.990797500","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1552","48.043614100","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=14058 Ack=52362 Win=520 Len=0"
"1553","48.043657700","10.33.98.162","204.80.128.1","TLSv1.2","234","Application Data, Application Data, Application Data, Application Data"
"1554","48.091789600","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=14058 Ack=52542 Win=520 Len=0"
"1555","48.264127700","204.80.128.1","10.33.98.162","TLSv1.2","298","Application Data, Application Data"
"1556","48.264244400","10.33.98.162","204.80.128.1","TLSv1.2","298","Application Data"
"1557","48.264318600","10.33.98.162","123.16.110.247","UDP","274","9993  >  63138 Len=232"
"1558","48.264337100","10.33.98.162","123.16.110.247","UDP","274","30061  >  63138 Len=232"
"1559","48.264355400","10.33.98.162","123.16.110.247","UDP","274","55933  >  63138 Len=232"
"1560","48.264696400","10.33.98.162","26.53.213.165","UDP","70","9993  >  9993 Len=28"
"1561","48.264745500","10.33.98.162","26.53.213.165","UDP","70","30061  >  9993 Len=28"
"1562","48.264818900","10.33.98.162","26.53.213.165","UDP","70","55933  >  9993 Len=28"
"1563","48.264867500","10.33.98.162","26.53.213.165","UDP","70","9993  >  50643 Len=28"
"1564","48.264903300","10.33.98.162","26.53.213.165","UDP","70","30061  >  50643 Len=28"
"1565","48.264941400","10.33.98.162","26.53.213.165","UDP","70","55933  >  50643 Len=28"
"1566","48.264981200","10.33.98.162","26.53.213.165","UDP","70","9993  >  33766 Len=28"
"1567","48.265019100","10.33.98.162","26.53.213.165","UDP","70","30061  >  33766 Len=28"
